"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "y"
"6851" -0.989191145413304 0.308942233713018 -0.0599646964676062 1.07227274081129 -0.504461990958259 0.00305597880650058 -1.06072367059142 1.53760360182528 0.66460262
"6990" 0.461947274664062 -0.138968163874568 0.941335473379545 1.63804102497383 0.666460686277217 0.153251961167007 0.209535187000787 -0.939855179544508 0.62205765
"2229" -0.792642026113823 0.667616694153488 -1.69418716381204 1.47723286828784 -0.608444045541477 -1.47592505170342 0.948812462737072 0.964616653212557 0.4865536
"2675" 0.136848467584814 -0.849344721486048 1.35059506825634 -1.38222098893235 -0.616831168499012 1.23074409591128 1.48464282499741 0.872058304800056 1.1824306
"1401" -1.10106421587523 1.58066744325883 0.9429032627 -0.369485421731599 1.64772840002497 0.298727854999174 0.349030544707623 -1.3583313574428 1.0301195
"1799" -0.950765374507318 -1.42207250600755 -0.61628963197228 -1.03669724264523 0.177826184212538 -0.616463485340737 1.48021851417578 1.04829115225165 0.5426049
"4387" 0.572615647296041 0.183514351904596 0.507773052649299 1.48265004368454 0.473224754164315 1.67629614002505 0.701680324775696 -1.07641332863511 0.63327629
"3306" 0.0155927599940518 0.596484137006255 1.64635562045109 -1.25346793186968 0.440904299289393 -1.61874296968515 -0.409243434932267 0.445096393306029 0.73893377
"7953" -0.0994731055868663 -1.01290164524704 0.657402511347793 1.39120651102439 0.201696689210707 0.205759017302966 1.69292652622427 0.4096381322735 0.46291553
"2712" 1.46450438948316 -1.51285001580399 -0.319368189268505 -0.208629749858509 0.343958041858749 0.704295625844624 1.59869208037501 0.282005503594316 1.0408025
"8190" 1.14427815101421 -0.703248632225401 1.68744943163052 -1.18789453130063 0.104447901100452 -0.208452487258957 -1.37431233394343 0.326795252364604 0.80388768
"1228" -0.514882476005984 0.56648235392364 0.635362984947881 0.62439584168543 -0.754767078394674 -0.475986751787891 0.331102462077899 1.26017424555812 0.23946401
"5114" 1.22183059461604 -1.27742235217071 0.439232305884858 0.47655026100613 1.05875110786838 -0.754771649345579 -0.961258130415966 0.682419516307421 0.81823864
"5262" -0.877683589699537 -0.90713629082413 -0.806688058225051 1.71795468663687 -0.924855971022104 -1.27495993542249 -1.56060726864627 -0.236529598257306 0.65936678
